transaction_id,user_id,merchant_id,location_id,amount,transaction_time,status,payment_method,device_id,fraud_flag
1,284,77,14,612.31,2026-02-27 19:50:31,FAILED,Wallet,d1c812ff-364b-4ef1-982d-baaaea893ed4,False
2,287,49,41,783.72,2026-02-19 16:21:44,FAILED,Card,44483799-1d84-45de-b4a4-5a6d161793f1,False
3,20,62,7,400.44,2026-03-19 08:45:17,SUCCESS,Wallet,486295b5-c090-465c-a426-17c71f840068,False
4,230,2,7,199.71,2026-02-04 01:40:27,PENDING,Wallet,d60f573a-00f0-4c1d-892c-c5342ad1d4f5,False
5,226,97,32,981.76,2026-02-20 16:00:04,SUCCESS,UPI,3b2a0ea4-777d-480d-92af-c8d1d65c41bb,False
6,170,52,34,310.74,2026-03-21 06:47:45,SUCCESS,Card,bbe5de84-32d4-4609-814d-075ef71c9aaf,False
7,150,65,35,268.25,2026-03-17 09:59:43,SUCCESS,Card,2af8a666-c390-4d79-a69d-52aa334434c7,False
8,134,50,4,621.58,2026-02-07 02:26:39,PENDING,UPI,8ea35ddd-3476-4449-a250-cea76a126f7f,False
9,263,8,40,638.3,2026-03-29 11:08:21,FAILED,Card,b9f480ce-fb34-467b-b154-79d0f34c6a1e,False
10,209,47,35,2678.41,2026-02-18 14:09:31,FAILED,Card,8a726c78-cbbc-4fd6-acde-273c379ce5a5,False
11,79,84,17,1054.18,2026-03-06 10:22:02,PENDING,UPI,5027c3b3-c2b6-454e-a05f-c180e9c22b9e,False
12,288,64,36,347.67,2026-03-23 23:45:29,PENDING,Card,8cc2e836-e3ef-4fa1-a7f5-6aaee35f888e,False
13,477,29,38,500.88,2026-02-07 14:05:37,FAILED,Card,7bdf681b-15b1-4897-85a3-59c6f18fd241,False
14,359,19,29,82.9,2026-03-01 05:11:42,FAILED,Wallet,cd68b6ca-2e36-4d2f-8711-14dfa605d630,False
15,461,93,11,4.89,2026-03-19 19:08:59,PENDING,Card,35e5554a-2725-4a13-bb48-1ff7a262f363,False
16,175,73,12,399.4,2026-03-25 11:05:05,FAILED,Card,388d87ae-c313-4c4c-b602-f568e70cbcbb,False
17,455,57,32,76.91,2026-02-13 08:23:41,PENDING,Wallet,9506bdb1-5650-46d9-add2-faaf5d3c40cc,False
18,245,40,10,1039.58,2026-02-15 16:06:41,FAILED,Wallet,1a9498f6-c499-41c0-a4a2-2f61186f127f,False
19,251,15,36,251.5,2026-02-19 23:02:06,SUCCESS,Wallet,7c9d4374-4f2c-4dd2-a86f-711dd47157d3,False
20,91,73,26,1187.16,2026-02-24 08:57:38,SUCCESS,Wallet,4dd6e482-f79a-4c9f-a7ad-26a438eed166,False
21,478,11,25,1009.53,2026-03-15 19:44:11,PENDING,Card,ad91c21f-dc1e-401d-8b0e-86136bc42036,False
22,64,88,49,889.57,2026-02-22 18:36:12,PENDING,UPI,c980ba32-1c8d-4d34-98ec-06388a37c23c,False
23,37,50,14,372.29,2026-02-17 07:53:16,PENDING,Card,7afdd367-b3ee-4885-8a7e-d0d41a17f842,False
24,352,89,48,83.47,2026-03-01 15:47:31,SUCCESS,UPI,5dc6f57a-11e4-455a-9bad-ceccf3c75847,False
25,481,36,17,52.48,2026-03-25 21:43:29,PENDING,UPI,acd0b4e8-b15e-407e-897f-e47717f8b703,False
26,288,35,6,876.44,2026-02-01 19:18:15,PENDING,Card,f4605a85-8f02-4670-b269-1131bb0a09bd,False
27,229,6,16,255.66,2026-02-22 02:36:35,PENDING,Card,b54a355f-9530-46fc-a8af-73bf5a081653,False
28,159,8,48,191.01,2026-03-19 03:35:25,PENDING,UPI,756ce41c-c2ce-4dba-8437-21b8ab2ff815,False
29,372,19,16,293.56,2026-03-21 20:50:49,FAILED,Wallet,cf4156f5-0824-43cb-9cc2-ba3b8b2f9d24,False
30,42,42,13,322.03,2026-02-16 23:43:22,PENDING,UPI,88eacc7d-fd80-454f-8add-6504f90e9f0d,False
31,337,5,47,108.59,2026-03-16 09:47:52,SUCCESS,UPI,a8c5bf05-bd1f-483b-b0fb-d1469bae49da,False
32,96,18,26,334.64,2026-02-26 23:12:15,FAILED,Wallet,3d70e715-14c0-4a6a-a1e1-5a37341702bd,False
33,254,86,33,631.97,2026-03-03 01:28:51,PENDING,Card,82e60c21-89be-4457-b9bb-fb96a91a0fb3,False
34,194,91,34,178.22,2026-03-30 08:11:32,SUCCESS,Card,ef451537-fbc6-4ada-a1d6-de8359aa592d,False
35,41,12,1,1483.5,2026-03-10 02:33:02,SUCCESS,Card,75fb7e48-b96b-4f11-8b0e-61dc9b0811b8,False
36,178,37,33,695.34,2026-03-22 13:58:15,PENDING,UPI,2382c7d2-f8d9-4dbc-96fa-0fba1500a481,False
37,228,58,37,18.0,2026-03-06 07:12:47,SUCCESS,Card,6cee05c5-df5b-4740-abd5-eea428c358e6,False
38,183,31,46,753.52,2026-02-15 23:45:25,PENDING,UPI,97428566-5991-4023-8465-d771d8263eac,False
39,301,6,18,252.97,2026-03-23 06:12:21,FAILED,UPI,794e6e9d-8ee9-4b52-9efa-fb4864b046fe,False
40,171,39,40,366.6,2026-02-25 18:35:28,SUCCESS,Wallet,29dc9107-3a74-47a2-b9c6-89c36a5f15c7,False
41,439,10,31,2123.66,2026-03-01 14:36:17,SUCCESS,Wallet,88676307-b813-4af7-8b4e-3d27e0e58c25,False
42,16,68,27,231.44,2026-02-15 00:44:05,FAILED,Card,7e3db815-9835-40f1-ab1b-a6b74783999c,False
43,176,48,7,453.53,2026-02-17 06:16:49,SUCCESS,UPI,9e5fa0dc-67d7-4252-81e6-e8871c3e9d91,False
44,486,13,37,241.56,2026-03-29 03:28:36,PENDING,UPI,2b7ac1b5-0109-49f7-bb5c-aa731d5db794,False
45,282,37,50,368.6,2026-03-16 17:04:40,FAILED,Card,88e15926-bf5d-4ff2-8dc4-5b41c9015951,False
